,Price,Metro_index,S,Floor,Price for 1m2,Remont_index,Parking_index
0,500000.0,16,200.0,5,2500.0,3,4
1,500000.0,16,198.0,5,2525.25,3,4
2,500000.0,16,200.0,5,2500.0,2,4
3,400000.0,16,170.0,5,2352.94,2,4
4,225000.0,2,58.0,12,3879.31,2,0
5,470000.0,16,92.0,3,5108.7,3,0
6,350000.0,2,213.0,4,1643.19,2,2
7,250000.0,16,98.0,2,2551.02,2,4
8,130000.0,16,120.0,5,1083.33,2,1
9,210000.0,2,90.0,2,2333.33,2,1
10,290000.0,16,170.0,6,1705.88,2,4
11,100000.0,16,80.0,4,1250.0,2,0
12,200000.0,16,100.0,2,2000.0,3,2
13,500000.0,16,180.0,6,2777.78,3,4
14,450000.0,5,222.2,5,2025.2,2,4
15,450000.0,5,225.0,5,2000.0,3,0
16,120000.0,2,30.0,19,4000.0,2,4
17,450000.0,2,222.0,5,2027.03,3,4
18,180000.0,1,150.0,4,1200.0,2,2
19,190000.0,5,201.0,3,945.27,2,2
20,205000.0,2,64.0,12,3203.12,2,0
21,230000.0,5,112.0,2,2053.57,2,4
22,590000.0,16,190.0,4,3105.26,3,0
23,850000.0,2,255.6,8,3325.51,2,4
24,190000.0,2,186.0,3,1021.51,2,1
25,200000.0,2,100.0,3,2000.0,2,2
26,200000.0,2,150.0,4,1333.33,2,0
27,300000.0,16,140.0,2,2142.86,3,0
28,400000.0,2,132.8,5,3012.05,2,4
29,750000.0,2,256.0,8,2929.69,3,4
30,870000.0,2,380.0,3,2289.47,1,1
31,350000.0,16,112.0,3,3125.0,0,4
32,400000.0,16,91.0,10,4395.6,0,4
33,400000.0,2,135.0,5,2962.96,3,4
34,590000.0,16,190.0,4,3105.26,3,4
35,135000.0,2,44.0,21,3068.18,0,0
36,150000.0,16,85.0,7,1764.71,2,2
37,320000.0,16,100.0,5,3200.0,0,4
38,400000.0,16,133.3,5,3000.75,0,4
39,400000.0,16,210.0,3,1904.76,0,4
40,450000.0,2,180.0,4,2500.0,0,2
41,470000.0,16,165.0,9,2848.48,0,4
42,590000.0,16,190.0,4,3105.26,0,4
43,600000.0,16,168.0,4,3571.43,0,4
44,850000.0,5,250.0,8,3400.0,0,2
45,150000.0,2,85.0,7,1764.71,2,4
46,195000.0,16,105.0,6,1857.14,2,4
47,300000.0,16,134.0,8,2238.81,2,4
48,90000.0,16,60.0,5,1500.0,2,2
49,150000.0,2,85.0,7,1764.71,3,2
50,250000.0,16,150.0,4,1666.67,3,2
51,350000.0,16,142.0,12,2464.79,2,4
52,450000.0,2,222.0,7,2027.03,2,0
53,120000.0,16,60.0,3,2000.0,0,0
54,120000.0,16,103.0,2,1165.05,0,0
55,175000.0,5,170.0,5,1029.41,2,2
56,190000.0,5,200.0,3,950.0,2,2
57,240000.0,16,105.0,6,2285.71,0,4
58,250000.0,16,60.0,2,4166.67,2,4
59,250000.0,16,155.0,4,1612.9,3,0
60,300000.0,16,134.0,8,2238.81,2,4
61,500000.0,29,214.6,3,2329.92,3,4
62,500000.0,16,204.0,2,2450.98,0,2
63,500000.0,16,180.0,7,2777.78,2,4
64,590000.0,2,260.0,6,2269.23,3,4
65,650000.0,16,237.1,7,2741.46,3,4
66,700000.0,16,215.0,5,3255.81,2,4
67,115000.0,2,100.0,2,1150.0,0,0
68,120000.0,16,60.0,3,2000.0,3,0
69,175000.0,5,170.0,5,1029.41,2,2
70,185000.0,2,98.0,6,1887.76,0,0
71,200000.0,2,175.0,3,1142.86,0,4
72,350000.0,16,180.0,3,1944.44,2,4
73,350000.0,16,132.0,12,2651.52,3,4
74,400000.0,1,228.0,3,1754.39,2,0
75,470000.0,16,92.3,3,5092.09,0,3
76,500000.0,16,204.0,2,2450.98,2,4
77,650000.0,2,160.0,26,4062.5,2,0
78,650000.0,2,140.0,25,4642.86,2,0
79,700000.0,2,140.0,25,5000.0,2,0
80,120000.0,2,45.0,6,2666.67,3,2
81,130000.0,16,65.0,7,2000.0,2,2
82,140000.0,2,87.0,4,1609.2,2,0
83,145000.0,16,90.0,7,1611.11,3,0
84,350000.0,16,180.0,3,1944.44,2,4
85,400000.0,2,180.0,2,2222.22,3,4
